permit_id,permit_number,type,zone_id,equipment_id,worker_id,status,start_time,end_time,hazards,controls
PRM-13,P-20012,EXCAVATION,Z-9,EQ-UA-7,W-66,COMPLETED,2026-07-05T17:06:13.789862,2026-07-05T18:01:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-14,P-20013,ELECTRICAL_ISOLATION,Z-8,EQ-WH-1,W-120,COMPLETED,2026-07-06T15:41:13.789862,2026-07-06T16:26:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-15,P-20014,CONFINED_SPACE,Z-3,EQ-GS-5,W-248,COMPLETED,2026-07-11T10:56:13.789862,2026-07-11T12:26:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-16,P-20015,HOT_WORK,Z-6,EQ-CS-5,W-68,COMPLETED,2026-07-07T10:46:13.789862,2026-07-07T11:16:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-17,P-20016,HEIGHTS,Z-2,EQ-BF-4,W-150,COMPLETED,2026-07-07T01:51:13.789862,2026-07-07T03:01:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-18,P-20017,HOT_WORK,Z-6,EQ-CS-1,W-121,COMPLETED,2026-07-11T10:26:13.789862,2026-07-11T11:31:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-19,P-20018,EXCAVATION,Z-10,EQ-CR-1,W-166,COMPLETED,2026-07-06T12:01:13.789862,2026-07-06T13:06:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-20,P-20019,ELECTRICAL_ISOLATION,Z-8,EQ-WH-2,W-30,COMPLETED,2026-07-11T01:41:13.789862,2026-07-11T03:16:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-21,P-20020,HOT_WORK,Z-2,EQ-COB-1,W-30,ACTIVE,2026-07-04T05:26:13.789862,2026-07-04T11:26:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-22,P-20021,EXCAVATION,Z-4,EQ-BH-3,W-117,COMPLETED,2026-07-03T18:21:13.789862,2026-07-03T19:51:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-23,P-20022,HEIGHTS,Z-9,EQ-UA-4,W-227,COMPLETED,2026-07-10T04:31:13.789862,2026-07-10T05:21:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-24,P-20023,HEIGHTS,Z-2,EQ-BF-3,W-241,COMPLETED,2026-07-10T14:11:13.789862,2026-07-10T15:46:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-25,P-20024,ELECTRICAL_ISOLATION,Z-1,EQ-COB-2,W-114,COMPLETED,2026-07-04T22:11:13.789862,2026-07-04T23:51:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-26,P-20025,HOT_WORK,Z-6,EQ-CS-3,W-140,COMPLETED,2026-07-11T14:06:13.789862,2026-07-11T15:31:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-27,P-20026,HEIGHTS,Z-1,EQ-COB-1,W-248,COMPLETED,2026-07-05T18:16:13.789862,2026-07-05T19:16:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-28,P-20027,HOT_WORK,Z-8,EQ-WH-6,W-165,COMPLETED,2026-07-11T06:16:13.789862,2026-07-11T07:16:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-29,P-20028,HOT_WORK,Z-10,EQ-CR-2,W-63,COMPLETED,2026-07-02T13:21:13.789862,2026-07-02T14:41:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-30,P-20029,CONFINED_SPACE,Z-10,EQ-CR-5,W-54,COMPLETED,2026-07-02T19:31:13.789862,2026-07-02T21:26:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-31,P-20030,HOT_WORK,Z-1,EQ-BH-5,W-202,ACTIVE,2026-07-05T06:26:13.789862,2026-07-05T14:06:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-32,P-20031,ELECTRICAL_ISOLATION,Z-1,EQ-COB-3,W-139,COMPLETED,2026-07-03T21:26:13.789862,2026-07-03T22:16:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-33,P-20032,HOT_WORK,Z-3,EQ-GS-1,W-34,COMPLETED,2026-07-11T05:41:13.789862,2026-07-11T06:11:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-34,P-20033,CONFINED_SPACE,Z-6,EQ-CS-2,W-5,COMPLETED,2026-07-10T05:01:13.789862,2026-07-10T06:21:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-35,P-20034,HOT_WORK,Z-5,EQ-MW-1,W-135,COMPLETED,2026-07-03T15:21:13.789862,2026-07-03T16:56:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-36,P-20035,HEIGHTS,Z-2,EQ-BF-5,W-132,COMPLETED,2026-07-08T05:06:13.789862,2026-07-08T06:31:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-37,P-20036,HEIGHTS,Z-2,EQ-BF-5,W-243,COMPLETED,2026-07-09T00:01:13.789862,2026-07-09T01:06:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-38,P-20037,EXCAVATION,Z-1,EQ-COB-1,W-165,COMPLETED,2026-07-06T03:01:13.789862,2026-07-06T04:41:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-39,P-20038,HEIGHTS,Z-1,EQ-COB-1,W-176,COMPLETED,2026-07-07T13:11:13.789862,2026-07-07T14:46:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-40,P-20039,HEIGHTS,Z-8,EQ-WH-5,W-83,COMPLETED,2026-07-02T21:11:13.789862,2026-07-02T21:51:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-41,P-20040,CONFINED_SPACE,Z-4,EQ-GS-6,W-160,ACTIVE,2026-07-06T07:26:13.789862,2026-07-06T13:26:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-42,P-20041,EXCAVATION,Z-10,EQ-CR-5,W-153,COMPLETED,2026-07-06T11:01:13.789862,2026-07-06T12:31:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-43,P-20042,HEIGHTS,Z-5,EQ-MW-6,W-26,COMPLETED,2026-07-09T00:36:13.789862,2026-07-09T02:11:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-44,P-20043,EXCAVATION,Z-2,EQ-BF-2,W-116,COMPLETED,2026-07-04T21:26:13.789862,2026-07-04T23:01:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-45,P-20044,ELECTRICAL_ISOLATION,Z-7,EQ-RMH-6,W-107,COMPLETED,2026-07-08T06:51:13.789862,2026-07-08T08:21:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-46,P-20045,ELECTRICAL_ISOLATION,Z-2,EQ-BF-3,W-171,COMPLETED,2026-07-07T21:46:13.789862,2026-07-07T23:06:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-47,P-20046,CONFINED_SPACE,Z-6,EQ-CS-1,W-18,COMPLETED,2026-07-11T14:31:13.789862,2026-07-11T16:16:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-48,P-20047,HOT_WORK,Z-2,EQ-BF-3,W-191,COMPLETED,2026-07-07T23:26:13.789862,2026-07-08T00:11:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-49,P-20048,EXCAVATION,Z-3,EQ-GS-5,W-245,COMPLETED,2026-07-02T16:31:13.789862,2026-07-02T18:31:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-50,P-20049,ELECTRICAL_ISOLATION,Z-9,EQ-UA-3,W-106,COMPLETED,2026-07-11T08:46:13.789862,2026-07-11T09:31:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-51,P-20050,CONFINED_SPACE,Z-6,EQ-RMH-1,W-91,ACTIVE,2026-07-07T08:26:13.789862,2026-07-07T14:26:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-52,P-20051,EXCAVATION,Z-10,EQ-CR-4,W-169,COMPLETED,2026-07-04T20:41:13.789862,2026-07-04T21:31:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-53,P-20052,HOT_WORK,Z-4,EQ-BH-1,W-95,COMPLETED,2026-07-06T19:36:13.789862,2026-07-06T21:31:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-54,P-20053,EXCAVATION,Z-5,EQ-MW-5,W-217,COMPLETED,2026-07-05T01:16:13.789862,2026-07-05T02:51:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-55,P-20054,EXCAVATION,Z-10,EQ-CR-5,W-7,COMPLETED,2026-07-11T10:26:13.789862,2026-07-11T12:21:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-56,P-20055,HOT_WORK,Z-5,EQ-MW-3,W-180,COMPLETED,2026-07-04T09:36:13.789862,2026-07-04T10:46:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-57,P-20056,ELECTRICAL_ISOLATION,Z-6,EQ-CS-2,W-223,COMPLETED,2026-07-01T22:11:13.789862,2026-07-01T23:06:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-58,P-20057,HEIGHTS,Z-10,EQ-CR-1,W-190,COMPLETED,2026-07-02T19:51:13.789862,2026-07-02T20:41:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-59,P-20058,EXCAVATION,Z-2,EQ-BF-4,W-108,COMPLETED,2026-07-04T21:31:13.789862,2026-07-04T23:01:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-60,P-20059,CONFINED_SPACE,Z-6,EQ-CS-3,W-185,COMPLETED,2026-07-07T02:21:13.789862,2026-07-07T03:36:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-61,P-20060,CONFINED_SPACE,Z-3,EQ-CR-2,W-40,ACTIVE,2026-07-08T09:26:13.789862,2026-07-08T15:26:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-62,P-20061,HOT_WORK,Z-10,EQ-CR-4,W-70,COMPLETED,2026-07-11T10:06:13.789862,2026-07-11T10:46:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-63,P-20062,HEIGHTS,Z-7,EQ-RMH-3,W-107,COMPLETED,2026-07-10T11:16:13.789862,2026-07-10T12:56:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-64,P-20063,EXCAVATION,Z-4,EQ-BH-1,W-111,COMPLETED,2026-07-03T10:56:13.789862,2026-07-03T12:21:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-65,P-20064,EXCAVATION,Z-5,EQ-MW-3,W-171,COMPLETED,2026-07-08T18:11:13.789862,2026-07-08T20:01:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-66,P-20065,CONFINED_SPACE,Z-1,EQ-COB-2,W-2,COMPLETED,2026-07-07T10:56:13.789862,2026-07-07T11:31:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-67,P-20066,CONFINED_SPACE,Z-5,EQ-MW-3,W-75,COMPLETED,2026-07-03T18:56:13.789862,2026-07-03T20:06:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-68,P-20067,HOT_WORK,Z-2,EQ-BF-2,W-45,COMPLETED,2026-07-08T21:51:13.789862,2026-07-08T23:26:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-69,P-20068,EXCAVATION,Z-7,EQ-RMH-7,W-144,COMPLETED,2026-07-05T02:36:13.789862,2026-07-05T04:26:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-70,P-20069,HOT_WORK,Z-6,EQ-CS-1,W-112,COMPLETED,2026-07-07T11:36:13.789862,2026-07-07T12:11:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-71,P-20070,HOT_WORK,Z-1,EQ-WH-5,W-110,ACTIVE,2026-07-09T10:26:13.789862,2026-07-09T16:51:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-72,P-20071,HEIGHTS,Z-7,EQ-RMH-1,W-104,COMPLETED,2026-07-05T22:51:13.789862,2026-07-05T23:36:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-73,P-20072,CONFINED_SPACE,Z-6,EQ-CS-3,W-213,COMPLETED,2026-07-10T15:01:13.789862,2026-07-10T16:41:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-74,P-20073,HEIGHTS,Z-2,EQ-BF-5,W-112,COMPLETED,2026-07-03T08:11:13.789862,2026-07-03T09:16:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-75,P-20074,EXCAVATION,Z-7,EQ-RMH-3,W-223,COMPLETED,2026-07-02T22:56:13.789862,2026-07-03T00:26:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-76,P-20075,CONFINED_SPACE,Z-6,EQ-CS-5,W-20,COMPLETED,2026-07-06T13:46:13.789862,2026-07-06T14:41:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-77,P-20076,EXCAVATION,Z-2,EQ-BF-3,W-232,COMPLETED,2026-07-09T02:06:13.789862,2026-07-09T03:06:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-78,P-20077,CONFINED_SPACE,Z-6,EQ-CS-3,W-38,COMPLETED,2026-07-05T04:41:13.789862,2026-07-05T05:26:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-79,P-20078,CONFINED_SPACE,Z-4,EQ-BH-1,W-195,COMPLETED,2026-07-10T09:41:13.789862,2026-07-10T10:31:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-80,P-20079,HEIGHTS,Z-3,EQ-GS-5,W-195,COMPLETED,2026-07-08T10:26:13.789862,2026-07-08T12:26:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-81,P-20080,HOT_WORK,Z-2,EQ-WH-6,W-222,ACTIVE,2026-07-10T11:26:13.789862,2026-07-10T17:26:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-82,P-20081,CONFINED_SPACE,Z-6,EQ-CS-4,W-121,COMPLETED,2026-07-08T02:11:13.789862,2026-07-08T02:51:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-83,P-20082,ELECTRICAL_ISOLATION,Z-5,EQ-MW-5,W-91,COMPLETED,2026-07-10T05:56:13.789862,2026-07-10T06:31:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-84,P-20083,ELECTRICAL_ISOLATION,Z-2,EQ-BF-1,W-10,COMPLETED,2026-07-08T09:41:13.789862,2026-07-08T11:21:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-85,P-20084,ELECTRICAL_ISOLATION,Z-6,EQ-CS-5,W-158,COMPLETED,2026-07-02T22:16:13.789862,2026-07-02T22:56:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-86,P-20085,HEIGHTS,Z-9,EQ-UA-7,W-142,COMPLETED,2026-07-08T10:01:13.789862,2026-07-08T12:01:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-87,P-20086,HEIGHTS,Z-1,EQ-COB-5,W-83,COMPLETED,2026-07-09T23:11:13.789862,2026-07-10T00:11:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-88,P-20087,EXCAVATION,Z-8,EQ-WH-1,W-116,COMPLETED,2026-07-03T23:31:13.789862,2026-07-04T00:06:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-89,P-20088,HOT_WORK,Z-6,EQ-CS-2,W-11,COMPLETED,2026-07-09T00:16:13.789862,2026-07-09T01:11:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-90,P-20089,HEIGHTS,Z-8,EQ-WH-2,W-157,COMPLETED,2026-07-09T06:56:13.789862,2026-07-09T08:46:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-91,P-20090,CONFINED_SPACE,Z-6,EQ-CS-3,W-105,ACTIVE,2026-07-11T04:06:13.789862,2026-07-11T10:06:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-92,P-20091,HOT_WORK,Z-10,EQ-CR-3,W-17,COMPLETED,2026-07-10T19:26:13.789862,2026-07-10T20:46:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-93,P-20092,EXCAVATION,Z-2,EQ-BF-3,W-73,COMPLETED,2026-07-11T11:36:13.789862,2026-07-11T13:06:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-94,P-20093,CONFINED_SPACE,Z-10,EQ-CR-2,W-150,COMPLETED,2026-07-06T13:51:13.789862,2026-07-06T14:31:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-95,P-20094,ELECTRICAL_ISOLATION,Z-6,EQ-CS-5,W-34,COMPLETED,2026-07-11T04:01:13.789862,2026-07-11T05:31:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-96,P-20095,ELECTRICAL_ISOLATION,Z-2,EQ-BF-3,W-165,COMPLETED,2026-07-09T18:51:13.789862,2026-07-09T20:21:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-97,P-20096,EXCAVATION,Z-3,EQ-GS-3,W-131,COMPLETED,2026-07-03T03:56:13.789862,2026-07-03T05:31:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-98,P-20097,ELECTRICAL_ISOLATION,Z-1,EQ-COB-2,W-244,COMPLETED,2026-07-06T05:31:13.789862,2026-07-06T06:26:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-99,P-20098,HEIGHTS,Z-6,EQ-CS-2,W-36,COMPLETED,2026-07-04T13:36:13.789862,2026-07-04T14:41:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-100,P-20099,ELECTRICAL_ISOLATION,Z-2,EQ-BF-5,W-198,COMPLETED,2026-07-03T06:36:13.789862,2026-07-03T08:26:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-101,P-20100,HOT_WORK,Z-9,EQ-UA-7,W-225,COMPLETED,2026-07-11T06:01:13.789862,2026-07-11T07:21:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-102,P-20101,CONFINED_SPACE,Z-10,EQ-CR-2,W-40,COMPLETED,2026-07-10T07:56:13.789862,2026-07-10T09:26:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-103,P-20102,EXCAVATION,Z-3,EQ-GS-4,W-12,COMPLETED,2026-07-04T04:36:13.789862,2026-07-04T06:16:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-104,P-20103,CONFINED_SPACE,Z-6,EQ-CS-4,W-193,COMPLETED,2026-07-08T03:41:13.789862,2026-07-08T04:56:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-105,P-20104,EXCAVATION,Z-4,EQ-BH-4,W-248,COMPLETED,2026-07-05T05:41:13.789862,2026-07-05T06:56:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-106,P-20105,ELECTRICAL_ISOLATION,Z-4,EQ-BH-4,W-113,COMPLETED,2026-07-11T11:36:13.789862,2026-07-11T13:36:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-107,P-20106,HEIGHTS,Z-5,EQ-MW-2,W-108,COMPLETED,2026-07-08T23:41:13.789862,2026-07-09T01:31:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-108,P-20107,EXCAVATION,Z-4,EQ-BH-4,W-14,COMPLETED,2026-07-03T19:16:13.789862,2026-07-03T20:26:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-109,P-20108,EXCAVATION,Z-6,EQ-CS-1,W-218,COMPLETED,2026-07-03T07:06:13.789862,2026-07-03T08:56:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-110,P-20109,HOT_WORK,Z-5,EQ-MW-5,W-116,COMPLETED,2026-07-04T02:46:13.789862,2026-07-04T03:56:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-111,P-20110,HEIGHTS,Z-3,EQ-GS-4,W-210,COMPLETED,2026-07-03T03:21:13.789862,2026-07-03T04:26:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
PRM-112,P-20111,HOT_WORK,Z-6,EQ-CS-5,W-102,COMPLETED,2026-07-07T17:41:13.789862,2026-07-07T18:16:13.789862,"Gas ignition, toxic gas exposure, mechanical hazards","Continuous testing, extraction bypass, fire watch"
