maintenance_id,equipment_id,worker_id,type,description,status,scheduled_date,completed_date
MNT-32,EQ-UA-7,W-139,EMERGENCY,Standard checks on Utilities Area Steam Boiler 7.,COMPLETED,2026-07-10T10:31:13.789862,2026-07-10T11:31:13.789862
MNT-33,EQ-RMH-4,W-203,CORRECTIVE,Standard checks on Raw Material Handling Compressor 4.,COMPLETED,2026-07-07T09:36:13.789862,2026-07-07T12:36:13.789862
MNT-34,EQ-MW-5,W-132,CORRECTIVE,Standard checks on Maintenance Workshop Storage Tank 5.,OVERDUE,2026-07-02T04:01:13.789862,
MNT-35,EQ-CS-1,W-52,EMERGENCY,Standard checks on Compressor Station Turbine Generator 1.,OVERDUE,2026-07-03T06:06:13.789862,
MNT-36,EQ-RMH-3,W-121,CORRECTIVE,Standard checks on Raw Material Handling Storage Tank 3.,OVERDUE,2026-07-07T04:36:13.789862,
MNT-37,EQ-COB-6,W-57,CORRECTIVE,Standard checks on Coke Oven Battery Valve Block 6.,SCHEDULED,2026-07-07T14:46:13.789862,
MNT-38,EQ-CS-2,W-73,PREVENTIVE,Standard checks on Compressor Station Compressor 2.,SCHEDULED,2026-07-09T10:06:13.789862,
MNT-39,EQ-MW-2,W-5,CORRECTIVE,Standard checks on Maintenance Workshop Conveyor Belt 2.,SCHEDULED,2026-07-08T21:41:13.789862,
MNT-40,EQ-MW-1,W-196,PREVENTIVE,Standard checks on Maintenance Workshop Valve Block 1.,SCHEDULED,2026-07-09T14:36:13.789862,
MNT-41,EQ-MW-6,W-58,PREVENTIVE,Standard checks on Maintenance Workshop Valve Block 6.,COMPLETED,2026-07-10T01:16:13.789862,2026-07-10T05:16:13.789862
MNT-42,EQ-MW-6,W-95,PREVENTIVE,Standard checks on Maintenance Workshop Valve Block 6.,SCHEDULED,2026-07-08T14:46:13.789862,
MNT-43,EQ-WH-1,W-80,PREVENTIVE,Standard checks on Warehouse Logistics Storage Tank 1.,COMPLETED,2026-07-06T13:31:13.789862,2026-07-06T14:31:13.789862
MNT-44,EQ-RMH-2,W-44,EMERGENCY,Standard checks on Raw Material Handling Valve Block 2.,OVERDUE,2026-07-04T18:56:13.789862,
MNT-45,EQ-GS-4,W-22,EMERGENCY,Standard checks on Gas Storage Facility Compressor 4.,OVERDUE,2026-07-03T20:16:13.789862,
MNT-46,EQ-UA-7,W-122,EMERGENCY,Standard checks on Utilities Area Steam Boiler 7.,SCHEDULED,2026-07-09T06:41:13.789862,
MNT-47,EQ-UA-2,W-60,CORRECTIVE,Standard checks on Utilities Area Turbine Generator 2.,OVERDUE,2026-07-02T16:11:13.789862,
MNT-48,EQ-MW-4,W-80,CORRECTIVE,Standard checks on Maintenance Workshop Preheater 4.,COMPLETED,2026-07-06T15:21:13.789862,2026-07-06T16:21:13.789862
MNT-49,EQ-WH-4,W-145,PREVENTIVE,Standard checks on Warehouse Logistics Turbine Generator 4.,OVERDUE,2026-07-10T08:26:13.789862,
MNT-50,EQ-GS-6,W-177,CORRECTIVE,Standard checks on Gas Storage Facility Conveyor Belt 6.,SCHEDULED,2026-07-04T19:26:13.789862,
MNT-51,EQ-RMH-1,W-128,PREVENTIVE,Standard checks on Raw Material Handling Storage Tank 1.,SCHEDULED,2026-07-06T06:56:13.789862,
MNT-52,EQ-BH-3,W-119,EMERGENCY,Standard checks on Boiler House Valve Block 3.,SCHEDULED,2026-07-08T16:56:13.789862,
MNT-53,EQ-CR-1,W-190,EMERGENCY,Standard checks on Control Room Hub Preheater 1.,COMPLETED,2026-07-02T23:51:13.789862,2026-07-03T03:51:13.789862
MNT-54,EQ-COB-5,W-97,EMERGENCY,Standard checks on Coke Oven Battery Steam Boiler 5.,COMPLETED,2026-07-03T15:31:13.789862,2026-07-03T17:31:13.789862
MNT-55,EQ-UA-1,W-32,PREVENTIVE,Standard checks on Utilities Area Conveyor Belt 1.,COMPLETED,2026-07-04T04:46:13.789862,2026-07-04T08:46:13.789862
MNT-56,EQ-COB-3,W-227,PREVENTIVE,Standard checks on Coke Oven Battery Compressor 3.,OVERDUE,2026-07-07T20:51:13.789862,
MNT-57,EQ-RMH-7,W-206,PREVENTIVE,Standard checks on Raw Material Handling Turbine Generator 7.,OVERDUE,2026-07-09T07:06:13.789862,
MNT-58,EQ-UA-1,W-224,CORRECTIVE,Standard checks on Utilities Area Conveyor Belt 1.,OVERDUE,2026-07-09T14:46:13.789862,
MNT-59,EQ-COB-1,W-76,CORRECTIVE,Standard checks on Coke Oven Battery Compressor 1.,OVERDUE,2026-07-03T12:11:13.789862,
MNT-60,EQ-WH-6,W-237,EMERGENCY,Standard checks on Warehouse Logistics Steam Boiler 6.,OVERDUE,2026-07-11T11:01:13.789862,
MNT-61,EQ-BH-3,W-158,EMERGENCY,Standard checks on Boiler House Valve Block 3.,SCHEDULED,2026-07-07T02:56:13.789862,
MNT-62,EQ-BF-4,W-37,EMERGENCY,Standard checks on Blast Furnace Conveyor Belt 4.,SCHEDULED,2026-07-05T23:06:13.789862,
MNT-63,EQ-GS-2,W-206,CORRECTIVE,Standard checks on Gas Storage Facility Conveyor Belt 2.,SCHEDULED,2026-07-10T13:36:13.789862,
MNT-64,EQ-CS-5,W-155,CORRECTIVE,Standard checks on Compressor Station Extractor Fan 5.,OVERDUE,2026-07-05T09:51:13.789862,
MNT-65,EQ-GS-2,W-240,EMERGENCY,Standard checks on Gas Storage Facility Conveyor Belt 2.,SCHEDULED,2026-07-06T12:46:13.789862,
MNT-66,EQ-CR-1,W-238,PREVENTIVE,Standard checks on Control Room Hub Preheater 1.,COMPLETED,2026-07-03T18:16:13.789862,2026-07-03T22:16:13.789862
MNT-67,EQ-BH-3,W-107,PREVENTIVE,Standard checks on Boiler House Valve Block 3.,COMPLETED,2026-07-04T09:16:13.789862,2026-07-04T13:16:13.789862
MNT-68,EQ-COB-1,W-80,EMERGENCY,Standard checks on Coke Oven Battery Compressor 1.,COMPLETED,2026-07-04T12:06:13.789862,2026-07-04T13:06:13.789862
MNT-69,EQ-CS-1,W-85,EMERGENCY,Standard checks on Compressor Station Turbine Generator 1.,COMPLETED,2026-07-03T04:21:13.789862,2026-07-03T08:21:13.789862
MNT-70,EQ-BF-4,W-18,EMERGENCY,Standard checks on Blast Furnace Conveyor Belt 4.,SCHEDULED,2026-07-06T19:41:13.789862,
MNT-71,EQ-CR-3,W-58,PREVENTIVE,Standard checks on Control Room Hub Compressor 3.,SCHEDULED,2026-07-06T17:46:13.789862,
MNT-72,EQ-GS-1,W-71,EMERGENCY,Standard checks on Gas Storage Facility Compressor 1.,OVERDUE,2026-07-05T21:06:13.789862,
MNT-73,EQ-WH-6,W-79,CORRECTIVE,Standard checks on Warehouse Logistics Steam Boiler 6.,SCHEDULED,2026-07-07T01:26:13.789862,
MNT-74,EQ-GS-5,W-144,EMERGENCY,Standard checks on Gas Storage Facility Valve Block 5.,SCHEDULED,2026-07-09T12:46:13.789862,
MNT-75,EQ-GS-1,W-20,EMERGENCY,Standard checks on Gas Storage Facility Compressor 1.,COMPLETED,2026-07-10T06:21:13.789862,2026-07-10T07:21:13.789862
MNT-76,EQ-GS-2,W-72,EMERGENCY,Standard checks on Gas Storage Facility Conveyor Belt 2.,OVERDUE,2026-07-04T08:56:13.789862,
MNT-77,EQ-COB-7,W-33,EMERGENCY,Standard checks on Coke Oven Battery Storage Tank 7.,SCHEDULED,2026-07-09T06:21:13.789862,
MNT-78,EQ-UA-3,W-99,EMERGENCY,Standard checks on Utilities Area Compressor 3.,SCHEDULED,2026-07-06T12:46:13.789862,
MNT-79,EQ-RMH-5,W-71,CORRECTIVE,Standard checks on Raw Material Handling Steam Boiler 5.,SCHEDULED,2026-07-10T14:16:13.789862,
MNT-80,EQ-GS-2,W-44,PREVENTIVE,Standard checks on Gas Storage Facility Conveyor Belt 2.,COMPLETED,2026-07-01T20:56:13.789862,2026-07-01T22:56:13.789862
MNT-81,EQ-UA-5,W-158,CORRECTIVE,Standard checks on Utilities Area Extractor Fan 5.,COMPLETED,2026-07-03T22:06:13.789862,2026-07-04T00:06:13.789862
MNT-82,EQ-CR-2,W-1,PREVENTIVE,Standard checks on Control Room Hub Turbine Generator 2.,COMPLETED,2026-07-06T10:26:13.789862,2026-07-06T11:26:13.789862
MNT-83,EQ-CS-4,W-207,EMERGENCY,Standard checks on Compressor Station Turbine Generator 4.,OVERDUE,2026-07-08T02:06:13.789862,
MNT-84,EQ-CS-2,W-84,PREVENTIVE,Standard checks on Compressor Station Compressor 2.,SCHEDULED,2026-07-06T03:21:13.789862,
MNT-85,EQ-GS-4,W-144,CORRECTIVE,Standard checks on Gas Storage Facility Compressor 4.,OVERDUE,2026-07-07T10:16:13.789862,
MNT-86,EQ-WH-5,W-122,EMERGENCY,Standard checks on Warehouse Logistics Valve Block 5.,OVERDUE,2026-07-06T21:16:13.789862,
MNT-87,EQ-BH-3,W-136,PREVENTIVE,Standard checks on Boiler House Valve Block 3.,SCHEDULED,2026-07-02T22:46:13.789862,
MNT-88,EQ-BF-4,W-243,EMERGENCY,Standard checks on Blast Furnace Conveyor Belt 4.,OVERDUE,2026-07-10T20:21:13.789862,
MNT-89,EQ-BF-3,W-216,CORRECTIVE,Standard checks on Blast Furnace Valve Block 3.,SCHEDULED,2026-07-08T01:16:13.789862,
MNT-90,EQ-CS-3,W-178,PREVENTIVE,Standard checks on Compressor Station Valve Block 3.,SCHEDULED,2026-07-05T09:36:13.789862,
MNT-91,EQ-RMH-2,W-231,CORRECTIVE,Standard checks on Raw Material Handling Valve Block 2.,SCHEDULED,2026-07-08T00:41:13.789862,
MNT-92,EQ-BF-5,W-7,EMERGENCY,Standard checks on Blast Furnace Turbine Generator 5.,OVERDUE,2026-07-07T00:51:13.789862,
MNT-93,EQ-BH-5,W-187,CORRECTIVE,Standard checks on Boiler House Extractor Fan 5.,COMPLETED,2026-07-07T20:51:13.789862,2026-07-07T22:51:13.789862
MNT-94,EQ-MW-1,W-46,CORRECTIVE,Standard checks on Maintenance Workshop Valve Block 1.,COMPLETED,2026-07-01T23:41:13.789862,2026-07-02T03:41:13.789862
MNT-95,EQ-CS-5,W-50,CORRECTIVE,Standard checks on Compressor Station Extractor Fan 5.,SCHEDULED,2026-07-01T21:56:13.789862,
MNT-96,EQ-BH-4,W-25,EMERGENCY,Standard checks on Boiler House Steam Boiler 4.,OVERDUE,2026-07-07T01:56:13.789862,
MNT-97,EQ-CR-5,W-4,PREVENTIVE,Standard checks on Control Room Hub Extractor Fan 5.,OVERDUE,2026-07-10T11:11:13.789862,
MNT-98,EQ-WH-1,W-71,CORRECTIVE,Standard checks on Warehouse Logistics Storage Tank 1.,OVERDUE,2026-07-10T23:06:13.789862,
MNT-99,EQ-COB-3,W-179,EMERGENCY,Standard checks on Coke Oven Battery Compressor 3.,OVERDUE,2026-07-05T10:26:13.789862,
MNT-100,EQ-COB-4,W-249,EMERGENCY,Standard checks on Coke Oven Battery Extractor Fan 4.,COMPLETED,2026-07-09T23:21:13.789862,2026-07-10T03:21:13.789862
MNT-101,EQ-RMH-7,W-117,EMERGENCY,Standard checks on Raw Material Handling Turbine Generator 7.,COMPLETED,2026-07-08T19:26:13.789862,2026-07-08T23:26:13.789862
MNT-102,EQ-CR-2,W-166,CORRECTIVE,Standard checks on Control Room Hub Turbine Generator 2.,COMPLETED,2026-07-09T14:16:13.789862,2026-07-09T15:16:13.789862
MNT-103,EQ-COB-2,W-157,EMERGENCY,Standard checks on Coke Oven Battery Steam Boiler 2.,SCHEDULED,2026-07-04T00:21:13.789862,
MNT-104,EQ-BF-5,W-223,PREVENTIVE,Standard checks on Blast Furnace Turbine Generator 5.,COMPLETED,2026-07-03T17:01:13.789862,2026-07-03T21:01:13.789862
MNT-105,EQ-COB-4,W-114,PREVENTIVE,Standard checks on Coke Oven Battery Extractor Fan 4.,SCHEDULED,2026-07-10T21:41:13.789862,
MNT-106,EQ-BH-3,W-25,PREVENTIVE,Standard checks on Boiler House Valve Block 3.,OVERDUE,2026-07-09T13:46:13.789862,
MNT-107,EQ-WH-1,W-158,EMERGENCY,Standard checks on Warehouse Logistics Storage Tank 1.,OVERDUE,2026-07-02T01:46:13.789862,
MNT-108,EQ-CR-1,W-231,PREVENTIVE,Standard checks on Control Room Hub Preheater 1.,SCHEDULED,2026-07-06T08:06:13.789862,
MNT-109,EQ-CR-4,W-151,PREVENTIVE,Standard checks on Control Room Hub Valve Block 4.,SCHEDULED,2026-07-07T01:06:13.789862,
MNT-110,EQ-WH-2,W-104,EMERGENCY,Standard checks on Warehouse Logistics Compressor 2.,SCHEDULED,2026-07-07T18:11:13.789862,
MNT-111,EQ-COB-4,W-17,PREVENTIVE,Standard checks on Coke Oven Battery Extractor Fan 4.,SCHEDULED,2026-07-04T13:56:13.789862,
MNT-112,EQ-WH-6,W-69,PREVENTIVE,Standard checks on Warehouse Logistics Steam Boiler 6.,COMPLETED,2026-07-03T00:41:13.789862,2026-07-03T04:41:13.789862
MNT-113,EQ-GS-6,W-156,EMERGENCY,Standard checks on Gas Storage Facility Conveyor Belt 6.,SCHEDULED,2026-07-04T15:51:13.789862,
MNT-114,EQ-MW-4,W-45,PREVENTIVE,Standard checks on Maintenance Workshop Preheater 4.,SCHEDULED,2026-07-10T20:56:13.789862,
MNT-115,EQ-BH-2,W-71,PREVENTIVE,Standard checks on Boiler House Preheater 2.,OVERDUE,2026-07-09T19:26:13.789862,
MNT-116,EQ-BH-4,W-120,PREVENTIVE,Standard checks on Boiler House Steam Boiler 4.,SCHEDULED,2026-07-09T22:01:13.789862,
MNT-117,EQ-RMH-3,W-239,PREVENTIVE,Standard checks on Raw Material Handling Storage Tank 3.,COMPLETED,2026-07-08T10:06:13.789862,2026-07-08T11:06:13.789862
MNT-118,EQ-BF-5,W-187,EMERGENCY,Standard checks on Blast Furnace Turbine Generator 5.,COMPLETED,2026-07-03T01:31:13.789862,2026-07-03T04:31:13.789862
MNT-119,EQ-RMH-7,W-248,PREVENTIVE,Standard checks on Raw Material Handling Turbine Generator 7.,COMPLETED,2026-07-02T02:56:13.789862,2026-07-02T03:56:13.789862
MNT-120,EQ-RMH-7,W-96,CORRECTIVE,Standard checks on Raw Material Handling Turbine Generator 7.,COMPLETED,2026-07-08T09:11:13.789862,2026-07-08T11:11:13.789862
MNT-121,EQ-UA-7,W-175,CORRECTIVE,Standard checks on Utilities Area Steam Boiler 7.,COMPLETED,2026-07-10T23:16:13.789862,2026-07-11T01:16:13.789862
MNT-122,EQ-COB-4,W-98,PREVENTIVE,Standard checks on Coke Oven Battery Extractor Fan 4.,COMPLETED,2026-07-05T22:01:13.789862,2026-07-06T01:01:13.789862
MNT-123,EQ-RMH-3,W-81,CORRECTIVE,Standard checks on Raw Material Handling Storage Tank 3.,COMPLETED,2026-07-07T17:21:13.789862,2026-07-07T19:21:13.789862
MNT-124,EQ-CR-3,W-52,CORRECTIVE,Standard checks on Control Room Hub Compressor 3.,OVERDUE,2026-07-04T08:31:13.789862,
MNT-125,EQ-WH-4,W-113,CORRECTIVE,Standard checks on Warehouse Logistics Turbine Generator 4.,COMPLETED,2026-07-05T14:21:13.789862,2026-07-05T18:21:13.789862
MNT-126,EQ-RMH-4,W-94,EMERGENCY,Standard checks on Raw Material Handling Compressor 4.,SCHEDULED,2026-07-06T19:06:13.789862,
MNT-127,EQ-MW-6,W-213,PREVENTIVE,Standard checks on Maintenance Workshop Valve Block 6.,SCHEDULED,2026-07-10T19:26:13.789862,
MNT-128,EQ-COB-3,W-244,PREVENTIVE,Standard checks on Coke Oven Battery Compressor 3.,OVERDUE,2026-07-10T03:51:13.789862,
MNT-129,EQ-RMH-1,W-146,CORRECTIVE,Standard checks on Raw Material Handling Storage Tank 1.,SCHEDULED,2026-07-04T19:56:13.789862,
MNT-130,EQ-BH-5,W-166,PREVENTIVE,Standard checks on Boiler House Extractor Fan 5.,OVERDUE,2026-07-11T12:51:13.789862,
MNT-131,EQ-BH-4,W-180,EMERGENCY,Standard checks on Boiler House Steam Boiler 4.,SCHEDULED,2026-07-09T00:01:13.789862,
MNT-132,EQ-UA-4,W-69,PREVENTIVE,Standard checks on Utilities Area Steam Boiler 4.,SCHEDULED,2026-07-03T03:01:13.789862,
MNT-133,EQ-GS-5,W-56,PREVENTIVE,Standard checks on Gas Storage Facility Valve Block 5.,OVERDUE,2026-07-08T11:41:13.789862,
MNT-134,EQ-BF-1,W-133,PREVENTIVE,Standard checks on Blast Furnace Valve Block 1.,SCHEDULED,2026-07-11T04:46:13.789862,
MNT-135,EQ-CS-2,W-36,CORRECTIVE,Standard checks on Compressor Station Compressor 2.,SCHEDULED,2026-07-08T11:31:13.789862,
MNT-136,EQ-MW-1,W-145,EMERGENCY,Standard checks on Maintenance Workshop Valve Block 1.,SCHEDULED,2026-07-07T05:01:13.789862,
MNT-137,EQ-CR-4,W-9,PREVENTIVE,Standard checks on Control Room Hub Valve Block 4.,SCHEDULED,2026-07-06T10:06:13.789862,
MNT-138,EQ-RMH-7,W-92,CORRECTIVE,Standard checks on Raw Material Handling Turbine Generator 7.,COMPLETED,2026-07-01T22:46:13.789862,2026-07-02T02:46:13.789862
MNT-139,EQ-BH-4,W-87,CORRECTIVE,Standard checks on Boiler House Steam Boiler 4.,COMPLETED,2026-07-11T01:11:13.789862,2026-07-11T03:11:13.789862
MNT-140,EQ-BH-2,W-42,PREVENTIVE,Standard checks on Boiler House Preheater 2.,SCHEDULED,2026-07-08T11:26:13.789862,
MNT-141,EQ-UA-2,W-6,CORRECTIVE,Standard checks on Utilities Area Turbine Generator 2.,SCHEDULED,2026-07-08T01:56:13.789862,
MNT-142,EQ-RMH-4,W-148,EMERGENCY,Standard checks on Raw Material Handling Compressor 4.,OVERDUE,2026-07-11T17:06:13.789862,
MNT-143,EQ-MW-3,W-122,EMERGENCY,Standard checks on Maintenance Workshop Valve Block 3.,OVERDUE,2026-07-05T07:11:13.789862,
MNT-144,EQ-MW-1,W-154,EMERGENCY,Standard checks on Maintenance Workshop Valve Block 1.,OVERDUE,2026-07-06T15:21:13.789862,
MNT-145,EQ-MW-3,W-77,CORRECTIVE,Standard checks on Maintenance Workshop Valve Block 3.,COMPLETED,2026-07-02T09:46:13.789862,2026-07-02T10:46:13.789862
MNT-146,EQ-MW-5,W-199,CORRECTIVE,Standard checks on Maintenance Workshop Storage Tank 5.,SCHEDULED,2026-07-05T16:01:13.789862,
MNT-147,EQ-RMH-4,W-8,PREVENTIVE,Standard checks on Raw Material Handling Compressor 4.,SCHEDULED,2026-07-04T04:01:13.789862,
MNT-148,EQ-BH-2,W-227,EMERGENCY,Standard checks on Boiler House Preheater 2.,SCHEDULED,2026-07-10T07:46:13.789862,
MNT-149,EQ-GS-1,W-244,EMERGENCY,Standard checks on Gas Storage Facility Compressor 1.,COMPLETED,2026-07-09T21:56:13.789862,2026-07-09T23:56:13.789862
MNT-150,EQ-BH-4,W-202,PREVENTIVE,Standard checks on Boiler House Steam Boiler 4.,COMPLETED,2026-07-02T14:26:13.789862,2026-07-02T17:26:13.789862
MNT-151,EQ-UA-5,W-89,PREVENTIVE,Standard checks on Utilities Area Extractor Fan 5.,OVERDUE,2026-07-08T08:36:13.789862,
MNT-152,EQ-CS-1,W-1,PREVENTIVE,Standard checks on Compressor Station Turbine Generator 1.,COMPLETED,2026-07-11T04:51:13.789862,2026-07-11T06:51:13.789862
MNT-153,EQ-BH-2,W-79,PREVENTIVE,Standard checks on Boiler House Preheater 2.,COMPLETED,2026-07-02T23:31:13.789862,2026-07-03T01:31:13.789862
MNT-154,EQ-MW-5,W-24,PREVENTIVE,Standard checks on Maintenance Workshop Storage Tank 5.,COMPLETED,2026-07-05T07:36:13.789862,2026-07-05T10:36:13.789862
MNT-155,EQ-CS-2,W-41,EMERGENCY,Standard checks on Compressor Station Compressor 2.,COMPLETED,2026-07-06T17:41:13.789862,2026-07-06T21:41:13.789862
MNT-156,EQ-WH-3,W-101,EMERGENCY,Standard checks on Warehouse Logistics Compressor 3.,COMPLETED,2026-07-11T18:36:13.789862,2026-07-11T22:36:13.789862
MNT-157,EQ-MW-2,W-213,PREVENTIVE,Standard checks on Maintenance Workshop Conveyor Belt 2.,SCHEDULED,2026-07-08T10:16:13.789862,
MNT-158,EQ-UA-2,W-235,PREVENTIVE,Standard checks on Utilities Area Turbine Generator 2.,OVERDUE,2026-07-03T04:46:13.789862,
MNT-159,EQ-BH-3,W-196,CORRECTIVE,Standard checks on Boiler House Valve Block 3.,OVERDUE,2026-07-03T17:36:13.789862,
MNT-160,EQ-CR-4,W-73,CORRECTIVE,Standard checks on Control Room Hub Valve Block 4.,SCHEDULED,2026-07-11T10:21:13.789862,
MNT-161,EQ-RMH-5,W-101,CORRECTIVE,Standard checks on Raw Material Handling Steam Boiler 5.,COMPLETED,2026-07-09T10:21:13.789862,2026-07-09T13:21:13.789862
MNT-162,EQ-WH-2,W-190,EMERGENCY,Standard checks on Warehouse Logistics Compressor 2.,COMPLETED,2026-07-10T04:16:13.789862,2026-07-10T06:16:13.789862
MNT-163,EQ-BF-5,W-197,CORRECTIVE,Standard checks on Blast Furnace Turbine Generator 5.,OVERDUE,2026-07-05T04:21:13.789862,
MNT-164,EQ-BH-4,W-129,EMERGENCY,Standard checks on Boiler House Steam Boiler 4.,SCHEDULED,2026-07-01T20:36:13.789862,
MNT-165,EQ-UA-2,W-102,PREVENTIVE,Standard checks on Utilities Area Turbine Generator 2.,SCHEDULED,2026-07-02T22:26:13.789862,
MNT-166,EQ-BF-2,W-128,CORRECTIVE,Standard checks on Blast Furnace Steam Boiler 2.,COMPLETED,2026-07-04T12:11:13.789862,2026-07-04T14:11:13.789862
MNT-167,EQ-MW-5,W-24,EMERGENCY,Standard checks on Maintenance Workshop Storage Tank 5.,OVERDUE,2026-07-06T15:56:13.789862,
MNT-168,EQ-BF-5,W-109,CORRECTIVE,Standard checks on Blast Furnace Turbine Generator 5.,OVERDUE,2026-07-03T23:31:13.789862,
MNT-169,EQ-MW-2,W-173,CORRECTIVE,Standard checks on Maintenance Workshop Conveyor Belt 2.,COMPLETED,2026-07-08T16:06:13.789862,2026-07-08T19:06:13.789862
MNT-170,EQ-BF-5,W-42,EMERGENCY,Standard checks on Blast Furnace Turbine Generator 5.,SCHEDULED,2026-07-07T12:01:13.789862,
MNT-171,EQ-UA-7,W-28,EMERGENCY,Standard checks on Utilities Area Steam Boiler 7.,COMPLETED,2026-07-08T10:46:13.789862,2026-07-08T13:46:13.789862
MNT-172,EQ-WH-6,W-26,PREVENTIVE,Standard checks on Warehouse Logistics Steam Boiler 6.,OVERDUE,2026-07-11T03:56:13.789862,
